id,x,y,z
1,80.39,79.47,1.74
2,44.52,57.03,16.54
3,18.55,34.57,82.51
4,39.13,7.18,72.29
5,38.31,60.68,6.63
6,65.49,5.01,20.84
7,43.82,83.96,21.51
8,41.74,23.05,27.65
9,58.01,97.71,79.59
10,16.78,76.14,95.90
11,73.50,98.70,68.01
12,4.93,99.43,38.58
13,81.99,5.24,1.72
14,71.18,18.76,73.13
15,21.13,49.36,96.43
16,72.57,43.55,4.56
17,8.87,4.68,90.63
18,94.73,65.51,30.37
19,89.36,59.85,78.14
20,56.48,26.98,0.38
21,38.92,8.42,91.26
22,67.57,75.06,70.99
23,67.56,29.30,99.45
24,27.44,28.39,87.24
25,97.34,42.60,79.77
26,3.56,47.93,45.06
27,13.32,62.89,46.52
28,1.39,12.67,44.50
29,88.64,54.15,11.56
30,66.44,65.76,3.82
31,23.69,41.84,40.38
32,11.78,74.15,16.32
33,38.36,56.62,26.63
34,34.13,87.69,98.64
35,4.45,33.21,21.18
36,52.62,75.56,43.70
37,71.76,67.50,44.37
38,15.23,74.06,52.39
39,0.69,87.26,71.75
40,92.15,98.34,60.27
41,65.74,18.45,30.26
42,15.08,25.64,36.17
43,65.67,97.20,15.33
44,91.60,26.28,51.51
45,62.17,43.95,14.27
46,56.22,72.99,81.88
47,68.45,42.35,99.44
48,59.24,51.60,7.51
49,6.50,76.15,80.47
50,37.33,8.70,19.43
51,59.19,74.45,26.22
52,34.51,99.91,89.62
53,1.65,77.48,7.81
54,4.80,8.20,11.16
55,87.94,18.65,58.28
56,67.01,94.72,60.39
57,69.27,42.18,76.84
58,79.04,59.02,98.66
59,93.07,73.08,4.59
60,85.45,22.12,77.67
61,54.76,18.94,80.51
62,14.50,87.80,61.24
63,40.26,71.69,46.40
64,11.02,34.05,90.55
65,70.20,23.81,49.72
66,79.63,23.95,32.04
67,91.04,37.94,19.06
68,37.96,45.72,44.96
69,55.27,40.20,66.97
70,94.17,54.28,91.67
71,72.58,42.50,46.43
72,26.51,63.16,30.41
73,69.89,70.95,89.87
74,84.14,54.00,86.35
75,53.31,2.00,10.80
76,5.11,45.95,65.24
77,71.30,91.52,88.87
78,67.62,7.05,84.49
79,99.46,32.26,38.96
80,49.07,87.23,71.38
81,68.12,42.51,35.80
82,4.58,65.23,37.39
83,97.95,62.75,60.68
84,33.88,24.98,46.52
85,59.62,12.23,66.87
86,56.66,23.89,41.37
87,41.77,21.43,66.96
88,0.47,74.62,28.20
89,11.03,87.32,23.31
90,85.29,26.52,23.03
91,48.89,35.36,87.80
92,71.00,36.63,64.42
93,8.07,67.22,58.29
94,49.13,77.75,87.51
95,63.20,26.31,72.18
