id,x,y,z
1,50.49,10.00,26.68
2,41.31,8.05,88.06
3,86.73,99.95,37.59
4,64.94,87.74,14.00
5,52.10,6.67,7.86
6,18.86,14.84,12.23
7,29.67,21.90,52.69
8,75.99,22.94,78.20
9,59.13,84.41,38.26
10,58.00,55.89,94.76
11,22.88,91.08,55.04
12,83.24,5.04,51.63
13,33.82,63.98,91.42
14,76.14,91.99,80.46
15,4.22,51.44,98.65
16,78.86,63.05,12.40
17,23.85,41.39,52.02
18,44.59,59.08,61.82
19,49.26,45.98,31.09
20,69.29,92.14,67.35
21,73.26,39.31,88.94
22,92.26,94.65,46.69
23,42.53,43.98,79.03
24,97.96,59.25,28.02
25,72.83,16.96,99.69
26,34.49,63.85,72.33
27,89.77,32.71,4.94
28,88.87,17.18,17.42
29,95.22,27.78,57.91
30,44.75,93.42,84.76
31,46.60,85.27,90.74
32,12.45,27.67,61.13
33,99.18,70.86,5.37
34,23.54,67.01,2.34
35,7.04,84.13,20.35
36,99.81,22.82,81.51
37,22.41,76.79,62.61
38,14.08,81.76,77.92
39,22.01,64.56,24.03
40,58.39,64.33,84.96
41,74.80,3.55,73.16
42,51.29,21.85,40.74
43,48.61,74.58,40.51
44,19.45,24.91,32.79
45,34.07,19.02,25.14
46,71.98,24.09,65.48
47,76.22,39.92,24.55
48,93.23,13.12,59.46
49,20.89,77.73,94.05
50,67.05,21.36,16.92
51,98.65,28.80,72.03
52,61.78,41.24,18.23
53,60.66,96.27,77.10
54,25.71,87.16,37.37
55,44.62,27.17,88.50
