id,x,y,z
1,53.18,55.69,5.66
2,27.55,23.85,42.72
3,22.79,69.41,90.02
4,92.51,16.83,68.62
5,94.69,83.93,92.24
6,40.75,42.65,68.70
7,37.78,17.49,11.02
8,74.55,57.31,50.47
9,84.90,95.08,76.99
10,89.44,14.56,27.91
11,80.13,97.64,69.22
12,68.34,20.05,36.71
13,8.01,86.55,58.76
14,39.97,37.77,52.03
15,11.67,9.32,7.11
16,41.22,3.92,22.72
17,88.08,36.21,19.90
18,97.01,1.26,56.32
19,14.73,77.97,49.35
20,26.98,60.29,65.61
21,97.85,0.53,12.76
22,39.49,49.94,66.49
23,8.88,96.45,16.70
24,76.63,31.54,47.80
25,23.50,78.97,46.79
26,74.85,36.40,70.41
27,63.72,66.96,22.19
28,78.34,3.69,28.12
29,46.64,4.38,67.09
30,51.55,2.28,88.39
31,80.66,2.85,18.74
32,36.47,90.78,76.35
33,6.18,74.69,93.07
34,19.97,22.75,82.06
35,3.84,58.09,92.04
36,99.60,81.79,69.68
37,25.74,75.48,4.65
38,38.36,54.08,75.63
39,72.78,48.33,4.14
40,59.97,91.19,72.23
41,92.97,7.16,24.23
42,2.99,74.35,2.96
43,89.30,50.90,78.09
44,51.91,17.86,27.42
45,10.49,9.00,76.04
46,78.21,63.96,2.71
47,19.07,4.05,79.31
48,86.96,86.32,10.36
49,11.47,4.04,74.91
50,82.30,15.91,51.80
51,67.09,83.60,84.16
52,90.61,15.77,73.83
53,40.59,9.34,63.07
54,86.56,50.75,49.34
55,76.07,57.04,98.07
56,43.66,45.70,34.35
57,65.55,29.91,93.09
58,65.45,30.67,46.64
59,88.24,85.82,46.00
60,72.36,69.72,23.03
61,5.39,77.75,63.05
62,19.11,37.08,59.55
63,50.12,16.86,90.68
64,82.33,74.84,37.35
65,67.68,17.90,96.12
66,28.47,23.26,22.39
67,86.76,50.49,95.72
68,20.52,83.42,37.85
69,73.39,66.49,71.25
70,6.50,26.25,83.11
71,25.53,51.40,55.53
72,97.85,6.37,99.33
73,62.03,17.51,30.27
74,55.09,74.51,22.16
75,60.69,16.06,54.35
