id,x,y,z
1,92.39,68.42,60.09
2,87.95,99.10,97.95
3,30.28,69.81,93.10
4,60.21,88.21,87.31
5,36.43,36.35,28.64
6,10.67,4.74,32.21
7,50.21,61.37,23.07
8,81.03,3.42,39.78
9,48.80,43.10,82.05
10,82.79,59.04,7.58
11,65.49,91.03,82.86
12,56.25,56.53,69.83
13,18.65,84.86,87.85
14,94.01,92.84,73.68
15,81.45,74.74,38.54
16,34.16,38.87,49.68
17,80.84,71.82,40.14
18,59.72,46.43,89.30
19,88.72,73.81,47.97
20,30.99,14.80,20.05
21,75.37,47.89,81.54
22,81.61,98.75,28.52
23,88.38,70.05,47.33
24,98.25,52.43,92.84
25,21.73,35.73,48.91
26,50.86,90.69,39.78
27,55.91,20.31,31.10
28,41.42,33.09,85.61
29,60.18,65.81,31.07
30,76.57,8.86,67.32
31,14.77,6.36,65.67
32,66.91,51.36,20.25
33,76.55,96.83,56.22
34,77.94,25.44,62.55
35,22.11,81.39,22.43
36,7.63,58.68,32.96
37,34.53,5.69,69.73
38,72.88,22.34,51.64
39,96.50,66.77,10.09
40,27.89,82.80,34.89
41,34.96,54.16,33.29
42,45.79,41.03,69.86
43,36.25,85.11,28.05
44,55.59,8.58,11.11
45,77.30,56.69,74.42
46,36.20,87.20,16.06
47,20.35,40.29,27.63
48,25.75,68.05,30.26
49,61.01,1.68,85.96
50,25.69,20.95,3.35
51,25.33,7.48,12.16
52,39.23,60.56,70.09
53,80.85,70.13,45.11
54,54.66,86.56,15.95
55,8.38,37.00,2.95
56,53.31,3.17,86.82
57,31.66,20.16,2.60
58,10.51,55.35,8.49
59,18.05,80.94,82.62
60,69.19,61.73,81.38
61,63.88,77.83,5.85
62,24.67,15.27,60.65
63,90.42,16.81,30.33
64,8.06,17.40,10.00
65,19.28,47.92,39.60
66,4.42,32.21,28.97
67,71.82,16.65,73.21
68,61.99,61.11,84.72
69,6.39,56.05,86.43
70,77.65,67.58,65.65
71,50.70,75.51,43.75
72,11.85,35.57,82.73
73,6.75,60.80,82.07
74,12.75,98.68,15.36
75,15.21,93.41,80.99
76,58.15,96.31,20.44
77,32.64,81.65,69.47
78,25.08,76.68,24.92
79,85.22,93.96,88.08
80,15.23,78.81,12.95
81,18.73,34.97,8.60
82,21.33,31.75,50.46
83,34.64,93.67,14.53
84,23.35,20.31,91.67
85,11.94,90.31,9.35
86,29.00,57.87,29.08
87,13.27,49.64,79.36
88,46.87,8.20,58.42
89,51.34,30.98,41.94
90,31.77,26.27,80.48
91,89.83,84.06,96.44
92,86.82,43.14,77.64
93,85.65,88.62,73.36
94,87.46,17.27,26.55
95,54.77,67.84,23.30
