id,x,y,z
1,64.09,53.64,81.22
2,23.16,77.84,26.64
3,36.69,48.58,89.75
4,4.52,21.46,66.11
5,72.96,6.99,22.61
6,71.19,57.47,37.20
7,17.83,33.60,0.96
8,79.04,86.21,28.93
9,32.96,20.56,47.24
10,31.66,99.21,52.63
11,18.40,12.84,31.49
12,24.11,80.20,18.32
13,29.12,43.68,41.36
14,45.11,96.44,38.73
15,81.51,53.36,94.39
16,40.61,37.47,11.91
17,32.99,32.16,2.83
18,2.90,97.10,95.07
19,14.40,15.37,23.82
20,36.62,27.35,34.96
21,98.02,74.33,37.65
22,96.85,80.13,16.69
23,57.88,14.23,31.11
24,51.81,35.15,24.27
25,68.12,87.09,32.51
26,70.79,69.51,49.38
27,29.49,31.04,11.85
28,58.22,97.00,22.69
29,7.57,81.89,93.81
30,56.95,44.31,64.18
31,67.50,27.43,83.27
32,20.81,49.59,94.24
33,67.98,13.23,5.24
34,72.00,31.90,62.03
35,75.17,48.19,90.59
36,56.84,20.29,81.21
37,64.50,33.03,67.55
38,16.48,41.97,91.82
39,60.90,92.29,49.96
40,58.42,60.41,2.26
41,51.26,42.87,66.28
42,25.01,11.60,1.28
43,63.68,78.20,70.20
44,89.05,16.08,1.98
45,8.18,28.15,42.48
46,88.05,10.76,2.27
47,38.49,30.07,12.79
48,88.19,3.09,8.72
49,16.20,59.32,68.66
50,47.93,74.12,1.57
51,77.15,31.61,2.39
52,48.65,96.37,58.92
53,97.90,62.64,13.07
54,82.21,36.13,96.07
55,25.76,36.93,67.32
56,68.76,77.78,14.90
57,93.82,14.61,57.47
58,24.53,36.72,2.70
59,40.16,7.51,71.07
60,78.54,95.69,77.72
61,28.35,41.89,96.58
62,99.65,21.81,63.54
63,60.12,82.75,67.85
64,5.68,54.08,69.34
65,79.12,75.62,80.58
66,71.66,6.45,18.87
67,23.98,26.69,65.54
68,31.12,78.71,88.09
69,76.32,95.52,59.48
70,98.96,61.85,73.56
71,52.91,65.90,44.39
72,30.42,53.57,76.46
73,21.67,87.42,26.73
74,82.18,1.68,49.65
75,5.95,20.22,83.49
76,32.04,64.01,58.05
77,11.27,42.31,10.08
78,11.50,91.37,91.07
79,20.89,21.15,85.68
80,36.27,93.54,3.43
81,40.90,54.28,65.40
82,36.06,15.32,69.13
83,57.73,2.16,52.18
84,46.04,36.08,29.47
85,25.99,62.31,75.16
86,51.18,70.74,24.86
87,64.09,72.04,40.97
88,29.30,88.69,32.51
89,55.44,85.19,80.17
90,79.57,28.09,8.95
91,89.71,63.80,92.63
92,47.63,57.28,66.26
93,78.41,96.08,13.62
94,85.04,44.15,1.20
95,79.00,32.06,11.22
96,2.52,60.02,87.68
97,68.34,80.30,91.92
98,61.89,85.23,39.67
99,3.33,50.28,73.09
100,54.49,2.57,64.01
