id,x,y,z
1,98.65,49.35,96.41
2,33.69,17.22,72.14
3,32.96,36.66,25.50
4,49.63,84.95,37.73
5,76.96,79.35,76.27
6,67.45,78.02,18.08
7,7.76,55.44,6.17
8,61.88,63.43,72.53
9,17.11,34.57,12.80
10,2.09,53.73,35.75
11,70.19,72.13,64.92
12,95.19,61.32,6.06
13,44.82,66.66,10.32
14,25.73,53.88,51.91
15,28.99,40.90,22.19
16,94.13,84.12,40.69
17,83.77,36.07,2.64
18,55.19,14.37,85.93
19,50.28,74.89,75.06
20,6.55,90.57,66.98
21,90.57,38.65,39.14
22,3.42,96.69,38.63
23,43.74,47.63,12.23
24,92.95,73.93,37.63
25,85.52,28.10,86.51
26,19.05,48.31,0.15
27,5.78,47.71,4.94
28,31.74,21.39,75.85
29,39.78,15.45,92.32
30,9.22,18.77,99.70
31,86.15,41.20,10.76
32,64.98,20.69,83.93
33,0.32,77.92,72.13
34,87.95,13.30,71.37
35,42.90,34.11,86.17
36,8.22,38.22,33.54
37,16.95,70.26,5.39
38,22.33,17.71,30.58
39,93.50,24.56,88.18
40,55.62,87.91,62.39
41,41.32,29.67,37.59
42,43.10,51.01,98.96
43,64.35,54.53,68.08
44,42.47,93.26,27.35
45,95.54,28.54,4.19
46,77.48,25.44,28.36
47,13.68,12.45,82.98
48,75.44,85.42,22.40
49,8.41,80.91,99.94
50,63.89,97.26,11.99
51,1.02,86.36,7.90
52,94.86,67.92,96.06
53,14.09,40.45,80.17
54,13.33,7.09,49.66
55,87.07,39.32,61.58
56,13.24,43.63,79.70
57,31.97,89.50,36.53
58,11.92,79.73,22.17
59,8.20,36.37,88.60
60,6.44,81.16,15.48
61,35.20,71.09,71.67
62,43.78,79.39,85.65
63,91.00,52.09,56.68
64,20.76,89.91,88.45
65,75.32,94.15,69.42
66,1.11,75.60,2.11
67,74.66,74.24,87.90
68,22.06,9.93,75.52
69,13.79,3.91,71.74
70,75.66,40.99,45.84
71,11.11,5.97,58.21
72,57.16,11.49,84.13
73,34.84,53.48,34.24
74,72.98,0.51,8.97
75,91.74,46.67,73.92
76,19.94,36.92,74.13
77,77.04,2.04,33.25
78,71.74,68.65,1.92
79,71.09,73.42,63.91
80,62.30,88.78,15.03
81,58.65,23.97,2.12
82,19.99,72.82,7.30
83,92.68,38.06,68.56
84,65.06,48.24,24.69
85,68.03,90.27,72.43
