id,x,y,z
1,55.67,6.69,30.58
2,80.71,2.74,61.07
3,88.23,75.73,83.00
4,74.39,66.10,56.49
5,73.78,63.56,72.56
6,64.56,87.60,20.61
7,79.89,17.84,51.65
8,71.99,93.40,35.33
9,20.62,64.79,6.27
10,60.70,79.84,85.84
11,52.84,63.80,69.37
12,20.44,12.48,7.25
13,41.26,81.22,78.24
14,52.35,20.59,61.13
15,23.84,41.36,67.37
16,83.49,5.77,56.59
17,76.67,75.65,44.60
18,25.79,18.93,62.25
19,87.05,74.78,88.10
20,38.87,52.50,20.73
21,74.75,45.63,68.15
22,95.57,7.95,97.25
23,37.56,82.38,98.62
24,1.21,29.04,15.68
25,46.52,83.18,54.97
26,90.55,44.10,20.91
27,22.53,99.49,49.35
28,3.32,33.94,18.78
29,47.86,97.15,62.73
30,74.20,3.96,57.42
31,12.29,42.14,32.78
32,50.84,70.13,38.71
33,0.15,73.56,81.23
34,6.12,96.17,95.44
35,20.36,14.72,34.26
36,84.28,42.56,41.89
37,11.92,13.62,42.12
38,63.64,27.57,80.63
39,29.35,38.82,62.33
40,97.07,18.79,37.20
41,32.44,91.23,32.00
42,86.57,88.55,0.52
43,78.50,67.05,17.63
44,85.40,75.87,24.34
45,19.56,63.53,79.34
46,91.53,80.56,49.41
47,35.14,25.71,68.56
48,81.97,6.72,85.33
49,66.71,76.98,72.45
50,46.14,37.67,26.99
51,44.51,61.17,85.07
52,81.56,62.74,21.12
53,28.92,98.34,54.80
54,69.59,2.38,70.13
55,36.00,57.69,27.20
