id,x,y,z
1,47.99,77.22,58.21
2,96.33,43.54,21.88
3,42.03,99.90,99.80
4,37.95,21.37,16.42
5,72.09,99.79,13.81
6,57.25,22.81,16.11
7,68.99,98.64,39.81
8,44.14,39.91,59.88
9,95.57,50.27,82.20
10,64.18,35.47,53.89
11,33.64,56.27,12.34
12,66.04,41.66,38.82
13,85.15,95.48,67.88
14,21.01,26.75,34.28
15,3.42,46.02,67.64
16,79.06,90.63,98.90
17,1.55,32.24,39.01
18,43.51,27.66,25.45
19,96.62,28.43,69.32
20,75.86,17.03,84.00
21,18.78,90.51,56.74
22,78.55,9.54,14.13
23,93.25,80.46,95.42
24,29.62,91.92,50.29
25,7.07,32.39,13.84
26,30.22,34.51,17.81
27,60.85,3.00,32.54
28,84.29,67.09,70.16
29,95.50,24.93,55.23
30,51.76,29.99,87.92
31,9.52,79.39,56.85
32,63.60,90.46,37.70
33,91.12,96.65,12.47
34,84.97,15.51,75.58
35,52.39,38.85,96.06
36,85.38,0.50,96.61
37,31.45,94.31,2.34
38,78.89,0.49,86.93
39,18.63,71.15,20.97
40,56.65,42.23,55.17
41,13.84,43.81,52.09
42,81.91,83.75,92.16
43,41.46,3.25,28.90
44,7.98,12.73,9.74
45,78.90,50.20,88.49
46,1.09,40.60,46.73
47,49.15,64.37,16.62
48,59.59,70.55,37.43
49,78.52,35.55,95.72
50,35.09,78.78,34.99
51,28.54,81.38,1.74
52,88.15,56.08,59.38
53,63.91,87.82,2.27
54,5.35,25.60,72.70
55,78.55,52.62,28.24
56,1.71,44.05,12.78
57,3.48,58.26,89.62
58,42.24,9.41,20.01
59,6.26,95.82,57.43
60,65.09,53.18,75.93
61,8.03,91.19,15.46
62,1.26,68.13,77.61
63,27.91,35.82,29.34
64,24.50,41.66,54.28
65,24.65,29.12,44.49
66,84.96,66.55,80.89
67,93.56,81.08,29.41
68,61.46,41.48,2.77
69,75.55,25.25,48.23
70,28.28,38.66,86.92
71,32.46,51.19,22.68
72,74.40,80.31,45.61
73,20.80,61.06,10.03
74,16.94,61.84,39.72
75,69.74,37.24,7.76
76,26.19,31.96,3.14
77,31.82,61.74,71.41
78,42.00,1.04,4.89
79,4.18,80.18,0.67
80,34.80,90.53,95.25
81,65.21,10.41,23.87
82,81.24,80.99,62.04
83,3.59,45.97,97.78
84,17.29,8.77,88.88
85,77.77,76.63,77.01
86,46.43,3.16,88.83
87,40.92,73.34,22.33
88,18.04,29.93,91.40
89,8.15,22.50,4.74
90,38.18,27.01,87.26
