id,x,y,z
1,49.84,55.71,70.33
2,68.49,62.63,52.47
3,28.11,70.58,23.07
4,88.75,87.28,13.06
5,97.13,4.93,3.41
6,4.26,42.24,20.41
7,82.06,60.55,78.52
8,28.48,10.83,40.24
9,10.51,60.53,87.74
10,10.16,78.68,77.79
11,60.01,65.74,51.54
12,62.48,98.49,60.83
13,42.63,26.85,19.62
14,90.23,68.07,58.26
15,55.50,88.70,50.28
16,62.31,19.61,24.74
17,94.04,41.11,91.42
18,5.93,1.44,82.45
19,92.18,93.74,8.45
20,38.92,14.50,42.42
21,15.50,29.97,40.51
22,53.65,99.60,3.72
23,12.01,45.68,80.72
24,93.25,72.42,35.02
25,16.46,28.52,68.74
26,26.76,3.34,93.51
27,64.68,63.94,66.09
28,19.26,24.69,42.39
29,75.05,17.79,87.42
30,66.42,15.75,26.93
31,67.43,55.62,42.26
32,47.68,21.60,73.01
33,95.32,95.55,2.61
34,51.47,70.46,90.59
35,76.26,99.34,70.30
