id,x,y,z
1,12.95,24.92,89.84
2,51.24,63.86,19.45
3,19.05,37.65,83.26
4,15.73,93.38,68.50
5,51.76,97.20,29.46
6,0.14,94.03,81.16
7,85.12,16.53,49.64
8,2.35,45.62,41.43
9,18.74,55.48,92.96
10,77.90,52.79,69.66
11,43.26,36.84,48.89
12,15.73,16.05,69.39
13,74.24,29.54,51.45
14,58.02,17.14,91.29
15,71.76,45.65,41.30
16,90.11,35.55,80.22
17,53.82,0.07,60.38
18,54.15,31.45,77.54
19,50.46,80.33,18.42
20,50.14,76.25,82.54
21,18.38,52.21,35.66
22,73.41,66.94,28.36
23,80.10,28.51,98.05
24,74.96,54.42,32.76
25,3.46,16.99,27.27
26,57.73,80.19,26.15
27,55.33,73.80,56.63
28,32.24,44.20,86.03
29,23.73,93.93,85.64
30,72.55,5.40,61.09
31,56.16,1.76,0.91
32,86.51,60.45,14.10
33,39.21,48.75,1.72
34,87.76,71.39,24.98
35,82.96,53.79,93.15
36,99.98,64.88,60.66
37,46.56,57.60,36.13
38,80.04,21.77,88.68
39,13.01,25.85,35.58
40,55.77,93.50,83.85
41,1.62,9.84,65.25
42,26.30,18.19,27.76
43,10.86,75.60,33.19
44,46.59,11.13,31.03
45,67.37,64.24,86.81
46,40.13,53.16,68.71
47,99.37,71.15,44.82
48,71.20,84.00,94.58
49,27.76,73.25,30.39
50,11.07,21.27,0.39
51,40.43,87.76,9.63
52,42.25,16.18,8.30
53,2.96,76.82,58.49
54,15.11,51.18,77.89
55,54.64,44.85,71.90
56,71.86,21.28,81.24
57,22.74,12.26,41.99
58,30.80,91.69,21.26
59,54.94,14.74,58.15
60,32.43,0.38,75.18
61,26.94,68.79,93.99
62,50.93,2.54,46.73
63,68.54,10.87,69.64
64,80.34,18.53,38.95
65,45.22,48.21,25.92
66,67.59,27.82,29.02
67,13.04,98.86,35.92
68,88.52,98.95,43.42
69,17.06,60.95,62.72
70,85.73,43.03,10.75
71,82.10,82.44,51.55
72,50.25,24.85,39.38
73,95.74,97.29,76.25
74,5.12,8.84,53.07
75,27.72,57.45,55.02
