id,x,y,z
1,16.26,55.85,38.98
2,30.30,60.50,16.40
3,26.57,69.68,62.61
4,78.33,11.77,86.78
5,88.30,66.81,8.19
6,36.13,5.78,16.58
7,33.07,74.61,83.44
8,82.03,67.01,69.42
9,37.28,53.79,69.19
10,20.52,20.52,87.37
11,55.06,57.94,18.49
12,65.06,70.70,25.81
13,31.29,67.52,16.56
14,44.43,56.74,77.04
15,69.73,23.40,18.99
16,52.85,1.34,22.80
17,13.84,80.36,67.01
18,47.67,66.56,37.82
19,76.28,32.95,42.83
20,3.19,51.16,94.52
21,87.52,88.36,7.61
22,18.39,52.76,35.35
23,1.17,10.42,19.77
24,93.26,26.71,50.02
25,94.27,35.12,81.93
26,83.42,25.76,13.58
27,87.93,11.18,76.87
28,63.29,68.06,95.60
29,51.82,62.04,74.11
30,11.11,59.34,13.64
31,65.50,23.47,54.51
32,73.41,68.46,28.39
33,16.23,16.73,10.94
34,62.66,96.76,33.09
35,85.49,36.89,7.28
36,68.12,77.00,53.22
37,41.08,6.99,79.87
38,29.39,49.02,57.26
39,52.99,30.54,8.76
40,30.21,87.96,41.12
41,49.89,36.63,99.40
42,76.10,45.01,2.33
43,56.21,49.17,11.13
44,77.51,57.72,55.20
45,91.95,22.72,68.42
46,26.30,70.70,47.44
47,72.94,52.98,3.51
48,11.11,34.30,62.36
49,32.11,16.04,55.82
50,88.61,16.68,18.23
51,91.19,46.32,51.78
52,94.36,71.44,43.10
53,38.91,97.74,22.82
54,33.55,50.57,44.25
55,82.85,13.44,41.78
56,3.33,88.25,7.50
57,67.63,69.79,4.69
58,99.03,70.18,35.47
59,9.34,73.71,3.90
60,39.78,37.53,73.48
