id,x,y,z
1,96.04,3.78,46.10
2,91.82,93.61,22.65
3,77.86,98.71,67.05
4,26.36,59.10,41.75
5,82.96,82.84,29.29
6,68.33,45.63,7.56
7,11.44,7.35,16.02
8,12.81,98.01,31.05
9,57.28,77.00,57.22
10,43.01,49.47,18.42
11,99.55,66.26,78.04
12,73.87,53.85,9.31
13,56.99,16.54,73.41
14,83.48,94.19,64.80
15,49.64,36.27,76.11
16,72.77,22.58,64.23
17,8.10,37.66,98.16
18,34.43,14.63,11.79
19,81.97,76.28,9.57
20,31.75,54.77,15.35
21,7.00,20.33,23.28
22,91.16,90.87,18.46
23,93.63,75.52,33.30
24,50.64,23.05,46.10
25,53.82,36.99,45.11
26,73.60,81.33,43.69
27,51.83,56.05,61.61
28,75.71,2.56,10.22
29,5.04,12.95,11.91
30,82.45,78.76,97.38
31,56.79,13.30,61.32
32,98.57,21.61,54.65
33,36.85,95.98,85.94
34,1.80,62.76,87.34
35,85.81,40.13,11.15
36,94.86,23.88,98.20
37,63.95,55.20,90.34
38,46.23,4.80,12.69
39,69.14,37.28,4.92
40,8.31,53.96,66.25
41,4.32,96.60,62.24
42,48.65,25.74,48.86
43,81.07,0.04,44.14
44,12.06,96.04,79.36
45,69.13,21.63,34.80
46,49.45,71.13,23.06
47,97.64,93.78,62.65
48,26.43,39.25,59.97
49,12.64,99.29,83.48
50,9.38,24.09,86.77
51,63.10,52.96,83.21
52,40.53,2.45,73.65
53,2.57,85.08,18.88
54,87.85,68.70,43.14
55,46.88,20.91,8.21
56,16.88,47.50,26.60
57,27.48,58.21,6.63
58,46.77,52.83,75.42
59,92.49,57.12,24.89
60,48.05,18.05,99.14
61,84.82,28.60,52.95
62,46.25,84.92,23.32
63,51.13,80.66,3.58
64,37.49,49.70,0.03
65,20.02,92.83,84.28
66,8.57,64.59,59.21
67,25.76,79.86,93.70
68,13.19,33.92,10.87
69,71.97,0.27,94.77
70,16.85,32.08,55.17
71,39.51,2.24,46.64
72,93.32,86.75,47.77
73,67.35,69.20,81.33
74,95.57,68.36,25.98
75,59.75,59.13,59.52
76,0.55,87.72,4.77
77,79.37,80.85,86.84
78,15.24,0.64,12.96
79,8.51,28.42,82.12
80,95.32,95.07,40.06
81,18.32,58.82,54.68
82,63.83,67.73,4.92
83,39.78,16.23,78.43
84,13.35,25.52,8.93
85,68.99,56.23,35.64
86,85.35,64.71,93.69
87,52.25,93.18,17.47
88,7.37,95.17,9.97
89,2.01,41.40,90.35
90,0.95,42.64,3.88
91,14.04,64.23,53.26
92,80.31,55.56,26.61
93,39.23,98.74,29.56
94,9.65,64.54,6.50
95,28.85,90.40,32.32
