id,x,y,z
1,73.68,66.14,25.67
2,91.16,14.80,8.65
3,46.93,78.77,88.35
4,46.43,59.34,62.94
5,80.20,95.93,23.15
6,38.05,57.00,38.10
7,60.21,62.68,63.19
8,28.41,28.71,65.35
9,42.83,85.20,20.34
10,56.45,8.98,77.06
11,39.02,54.97,98.73
12,53.86,31.01,12.23
13,51.60,95.81,40.39
14,35.77,63.60,90.59
15,29.58,42.14,0.93
16,39.42,62.60,79.36
17,63.69,70.93,49.34
18,59.01,56.74,31.51
19,82.78,33.47,5.80
20,66.47,54.61,7.84
21,42.03,2.99,4.39
22,94.61,93.62,51.43
23,25.22,91.78,86.94
24,72.88,39.85,62.11
25,95.86,79.21,59.49
26,54.83,9.99,36.99
27,43.54,42.79,62.02
28,59.21,16.92,92.90
29,26.54,76.52,23.98
30,82.59,28.83,33.40
31,35.70,91.74,33.14
32,90.95,28.04,85.19
33,95.93,51.47,27.34
34,6.75,48.68,65.54
35,5.91,22.85,69.16
36,57.04,25.47,99.00
37,13.65,55.78,88.24
38,36.81,12.08,20.19
39,8.35,31.68,86.94
40,60.57,12.88,15.54
41,70.68,14.63,50.57
42,47.39,61.69,24.62
43,18.46,93.82,55.42
44,88.73,87.23,22.34
45,62.08,85.40,39.32
46,23.12,18.92,90.87
47,38.24,51.33,73.04
48,73.83,87.62,57.33
49,12.38,13.20,95.47
50,47.83,65.39,95.67
51,89.26,64.14,72.98
52,9.88,84.99,82.75
53,73.12,66.96,77.25
54,16.47,53.62,45.56
55,54.08,9.33,0.81
56,23.58,37.28,15.62
57,22.98,59.79,73.27
58,24.52,3.33,84.14
59,54.36,46.78,62.38
60,54.64,74.93,71.94
61,76.96,0.42,39.43
62,88.71,93.10,31.91
63,16.07,92.92,99.32
64,89.92,36.38,56.97
65,8.96,79.19,96.47
66,88.26,68.15,89.34
67,24.48,1.54,21.09
68,57.55,84.63,16.69
69,12.34,47.21,32.64
70,54.99,41.02,73.63
71,75.65,12.62,94.67
72,81.73,70.23,42.47
73,82.73,74.39,66.34
74,22.74,56.81,28.35
75,1.73,61.99,6.15
76,5.36,71.18,78.83
77,10.55,12.18,32.24
78,2.71,40.80,39.40
79,79.70,52.75,61.99
80,39.71,33.16,53.41
81,80.96,14.85,10.89
82,95.50,12.86,38.20
83,43.63,14.37,69.40
84,83.49,46.76,25.31
85,29.43,37.53,38.33
