id,x,y,z
1,3.61,94.13,34.69
2,34.60,98.90,20.26
3,88.20,34.04,20.66
4,78.91,84.51,94.00
5,95.92,43.16,54.06
6,15.69,9.13,33.78
7,97.25,20.40,99.59
8,55.12,44.19,15.66
9,54.62,33.90,50.46
10,81.42,62.49,86.38
11,49.30,65.16,18.01
12,8.57,74.47,99.37
13,94.89,13.48,64.53
14,32.69,1.12,40.49
15,59.48,53.12,52.81
16,53.68,4.86,24.92
17,23.76,39.16,69.17
18,44.79,34.94,17.29
19,89.67,17.16,11.49
20,63.03,68.20,29.28
21,43.87,32.76,65.82
22,12.45,0.61,47.17
23,18.83,22.21,5.11
24,27.24,95.56,34.30
25,52.54,36.71,15.86
26,75.48,85.63,1.73
27,9.27,53.09,8.78
28,0.43,27.62,73.10
29,84.36,9.06,82.82
30,35.24,64.08,36.23
31,89.78,51.92,72.19
32,61.01,64.46,17.65
33,87.50,70.26,91.97
34,34.42,37.12,58.45
35,58.04,15.49,46.08
36,89.93,75.73,67.39
37,81.65,47.30,19.03
38,56.90,16.99,90.11
39,76.42,96.85,53.64
40,39.85,71.91,83.99
41,94.93,75.61,37.11
42,87.55,74.63,83.87
43,85.44,18.14,96.06
44,25.26,70.02,85.87
45,6.41,63.73,38.30
46,48.95,12.93,22.67
47,85.29,46.15,67.87
48,56.67,90.65,65.07
49,0.51,8.84,27.62
50,93.77,32.83,21.11
51,64.85,65.26,23.62
52,62.31,61.79,23.99
53,13.25,78.97,19.64
54,4.84,53.53,42.78
55,67.91,19.74,66.39
56,72.28,72.90,82.75
57,14.56,12.03,4.46
58,6.75,17.52,68.00
59,27.07,67.90,34.05
60,17.35,97.59,99.07
61,16.45,83.30,67.44
62,14.55,89.77,51.40
63,55.71,97.88,28.30
64,31.23,84.49,2.48
65,27.13,3.65,40.51
66,63.62,13.92,47.88
67,48.50,48.68,52.62
68,91.57,40.35,91.00
69,97.48,79.81,16.76
70,54.05,84.22,82.09
71,20.90,48.76,11.78
72,65.76,96.94,3.48
73,86.71,60.95,60.08
74,37.41,14.25,94.95
75,3.03,30.99,31.31
76,38.08,59.37,85.12
77,87.60,42.69,21.72
78,11.68,77.20,31.33
79,13.78,13.92,70.78
80,57.85,67.25,13.49
