id,x,y,z
1,53.81,87.24,35.35
2,25.20,53.65,42.54
3,66.05,9.60,44.37
4,63.25,93.73,1.19
5,28.06,59.64,44.37
6,30.15,66.41,65.32
7,86.26,91.93,45.50
8,35.95,24.02,8.45
9,37.86,14.90,35.11
10,97.41,92.23,95.93
11,33.91,25.06,33.86
12,58.66,13.66,47.04
13,55.06,48.34,96.56
14,16.85,68.41,58.75
15,68.81,72.62,61.87
16,52.94,40.25,4.04
17,40.13,40.95,94.92
18,21.42,20.31,55.65
19,46.76,43.59,66.83
20,41.08,22.48,53.44
21,41.21,98.15,77.77
22,59.48,32.07,95.06
23,20.98,43.23,57.69
24,93.32,76.65,69.92
25,29.37,39.89,11.21
26,78.43,83.02,75.47
27,31.10,38.63,55.96
28,61.82,28.75,37.98
29,86.36,28.77,26.53
30,6.36,88.21,64.19
31,48.44,50.45,76.84
32,16.08,86.11,97.95
33,19.95,5.43,60.36
34,56.32,77.77,37.55
35,50.74,17.88,25.30
36,68.55,24.39,69.29
37,18.85,91.48,47.51
38,26.68,53.65,69.37
39,5.87,62.21,44.00
40,72.75,74.84,15.31
41,62.60,39.18,85.13
42,82.20,45.42,92.48
43,75.61,12.99,51.34
44,56.66,74.33,61.48
45,71.92,96.85,46.61
46,52.23,34.58,34.85
47,9.91,54.53,43.48
48,93.69,66.97,30.97
49,78.80,55.08,74.05
50,5.10,37.77,61.07
51,30.81,16.99,60.34
52,62.81,65.45,50.86
53,54.27,3.92,78.05
54,81.84,16.06,44.88
55,55.71,43.13,21.95
