id,x,y,z
1,40.04,3.54,35.86
2,77.03,68.89,97.79
3,70.48,84.34,88.83
4,67.61,43.60,2.42
5,87.08,25.96,39.90
6,17.71,44.03,68.83
7,18.65,38.42,88.08
8,42.11,82.66,37.11
9,19.71,99.71,56.88
10,77.07,84.40,63.33
11,14.61,39.81,80.10
12,27.73,56.29,43.57
13,12.08,66.64,74.24
14,56.03,58.72,30.62
15,20.91,64.45,47.46
16,77.82,69.80,79.48
17,16.31,28.53,73.87
18,37.96,77.07,75.99
19,78.77,28.32,7.05
20,64.06,80.27,95.25
21,33.08,15.33,0.07
22,4.58,5.25,82.71
23,87.24,3.01,98.60
24,37.53,87.53,84.43
25,80.89,68.02,62.56
26,68.30,92.34,29.57
27,58.70,69.03,45.96
28,87.58,10.56,2.11
29,41.33,17.04,89.52
30,71.02,51.18,15.19
31,4.00,88.50,52.47
32,97.64,98.46,27.30
33,18.37,74.16,63.84
34,38.20,86.48,72.26
35,30.92,5.94,78.89
36,74.67,64.74,77.26
37,46.27,43.63,88.12
38,95.55,6.70,83.43
39,70.14,94.21,0.34
40,3.97,30.83,28.00
41,16.76,59.89,15.36
42,28.24,19.30,11.70
43,39.55,71.31,84.58
44,60.26,59.99,33.54
45,35.41,21.18,79.77
