id,x,y,z
1,92.59,81.15,3.33
2,14.36,78.45,57.71
3,75.03,2.61,67.65
4,73.96,39.18,3.49
5,16.65,48.37,72.45
6,50.62,54.84,16.37
7,58.92,18.53,57.86
8,24.83,89.40,92.65
9,15.68,24.24,49.89
10,32.25,24.50,87.08
11,95.31,18.58,60.30
12,17.55,59.31,31.87
13,51.28,34.63,21.06
14,92.22,20.98,42.16
15,51.65,33.14,25.50
16,57.10,82.70,31.70
17,60.52,4.39,6.20
18,78.64,69.54,3.48
19,80.20,55.35,7.24
20,64.35,45.00,11.72
21,79.09,78.03,17.28
22,3.82,7.07,70.64
23,61.39,56.11,2.25
24,78.31,38.68,20.78
25,11.85,83.96,1.37
26,9.37,74.80,85.91
27,39.38,93.19,71.21
28,87.34,75.97,71.30
29,51.92,84.87,71.35
30,29.52,60.12,29.16
31,91.13,42.32,96.93
32,99.99,96.98,26.74
33,81.80,61.68,6.17
34,31.46,26.26,55.11
35,61.21,4.73,30.43
36,25.74,96.06,22.07
37,31.33,58.05,57.06
38,64.23,49.97,28.93
39,54.23,50.95,21.97
40,79.59,95.32,44.44
41,49.86,48.75,14.13
42,63.47,53.49,4.33
43,7.11,85.99,64.91
44,59.28,86.05,67.58
45,69.63,8.60,51.17
46,31.45,43.92,44.26
47,18.49,92.57,44.83
48,10.91,49.28,53.11
49,83.23,43.08,76.18
50,85.09,1.29,2.41
51,39.01,13.54,0.01
52,64.68,55.57,23.06
53,4.02,95.89,62.11
54,7.43,37.30,25.48
55,53.89,24.78,2.24
56,2.83,80.90,27.03
57,48.92,98.06,12.89
58,32.90,53.45,21.93
59,86.58,57.76,69.47
60,16.41,7.18,85.53
61,57.37,48.95,92.28
62,7.40,9.80,75.15
63,59.50,44.16,43.99
64,65.60,48.84,99.86
65,73.37,20.92,81.45
66,91.59,19.07,4.59
67,7.35,13.46,29.46
68,95.18,28.44,46.34
69,40.01,96.49,98.60
70,69.31,35.46,88.72
71,43.80,60.71,66.04
72,89.08,1.34,20.35
73,83.93,97.26,61.25
74,7.69,50.64,41.77
75,99.34,53.48,61.46
76,97.35,44.26,38.78
77,44.43,53.35,99.17
78,7.64,6.75,2.59
79,53.73,41.55,24.30
80,82.67,82.90,80.14
81,69.94,87.64,91.40
82,89.27,17.79,4.91
83,57.86,32.31,90.59
84,19.37,96.02,56.72
85,59.44,18.75,2.46
86,39.28,55.29,46.15
87,18.27,90.88,79.57
88,10.60,46.33,48.59
89,83.04,80.65,83.42
90,80.91,87.70,3.20
