id,x,y,z
1,3.07,81.53,99.47
2,83.32,25.76,62.28
3,29.12,28.13,30.97
4,99.71,67.67,22.67
5,81.98,75.56,63.40
6,48.36,27.48,2.29
7,75.55,89.41,65.58
8,53.61,66.22,40.79
9,20.16,54.64,25.80
10,30.50,5.27,50.92
11,38.34,37.73,10.89
12,28.96,48.93,95.81
13,78.86,70.96,82.27
14,67.68,93.75,14.06
15,75.35,2.67,11.04
16,88.14,79.24,72.04
17,55.45,85.20,38.41
18,100.00,58.73,77.76
19,61.95,8.37,55.86
20,79.30,70.31,51.02
21,64.98,60.81,70.91
22,9.77,6.53,60.21
23,45.84,74.67,17.13
24,77.34,38.46,92.12
25,33.30,88.42,92.68
26,8.90,64.82,39.23
27,42.76,67.92,5.74
28,47.50,66.44,25.88
29,94.53,31.87,28.63
30,15.51,43.39,39.08
31,39.46,19.82,74.71
32,6.93,39.94,48.00
33,1.63,68.44,13.15
34,43.92,91.71,72.63
35,86.49,41.80,87.65
36,91.22,92.91,26.76
37,43.72,13.84,26.13
38,42.39,43.76,61.69
39,74.61,11.34,25.04
40,72.24,23.11,58.85
41,41.17,66.61,38.46
42,56.53,29.43,61.58
43,79.19,32.32,73.86
44,18.81,35.90,88.12
45,82.47,24.17,5.00
46,68.73,39.82,43.27
47,97.64,98.33,48.70
48,48.12,72.74,82.71
49,36.85,59.26,17.24
50,68.05,12.41,87.55
51,50.33,1.96,40.60
52,94.16,30.88,17.38
53,88.21,18.70,37.53
54,1.39,87.90,90.12
55,16.75,53.31,85.66
56,18.72,30.84,48.77
57,9.79,29.02,23.88
58,96.07,55.36,4.36
59,57.49,58.22,96.22
60,86.33,21.78,81.92
