id,x,y,z
1,49.75,59.01,22.85
2,13.45,58.94,4.26
3,20.34,5.61,64.86
4,40.54,71.41,38.33
5,50.48,91.01,60.14
6,35.89,19.98,21.27
7,60.21,73.70,96.88
8,5.03,63.95,94.07
9,10.56,39.03,27.79
10,96.79,64.62,85.76
11,48.57,37.35,55.33
12,42.72,96.21,65.42
13,89.05,89.81,0.64
14,99.73,83.20,21.06
15,48.87,33.97,5.56
16,2.47,98.16,95.90
17,76.53,92.86,2.25
18,68.71,54.20,79.71
19,80.24,60.17,29.22
20,61.27,0.14,48.92
21,94.27,51.50,34.03
22,38.80,36.71,46.10
23,61.25,64.87,49.17
24,8.97,66.87,90.65
25,19.32,28.75,76.16
26,66.05,26.90,21.20
27,0.13,18.64,68.47
28,13.77,38.09,36.12
29,57.15,29.97,89.14
30,51.80,13.02,62.54
31,6.09,86.32,91.66
32,14.97,2.64,97.13
33,69.81,4.99,46.66
34,78.42,39.46,16.71
35,71.75,87.69,76.41
36,36.35,95.18,86.92
37,76.97,31.60,85.01
38,41.13,31.88,66.45
39,77.10,39.40,32.81
40,56.74,76.10,83.60
41,39.11,65.28,41.38
42,23.49,94.70,47.05
43,96.35,23.95,64.11
44,41.20,87.35,28.09
45,43.94,45.30,61.57
