id,x,y,z
1,59.90,80.03,92.08
2,42.24,60.08,62.67
3,45.79,49.35,19.42
4,10.87,7.29,48.47
5,44.86,1.36,42.10
6,43.95,26.35,77.65
7,69.56,54.50,79.58
8,18.43,19.95,96.51
9,92.00,63.70,12.49
10,54.74,67.56,15.94
11,63.00,99.86,4.44
12,48.55,99.99,14.50
13,95.22,83.44,53.01
14,10.98,36.60,66.35
15,19.86,66.07,73.14
16,72.98,96.37,82.56
17,41.93,86.37,37.64
18,42.03,2.92,21.46
19,66.08,29.66,68.04
20,0.91,31.32,52.78
21,53.15,46.59,83.25
22,48.54,12.51,92.13
23,8.76,94.50,44.94
24,89.10,19.40,45.53
25,5.83,61.30,62.48
26,86.14,27.02,34.66
27,68.00,19.87,32.53
28,57.39,46.58,46.27
29,72.24,95.24,58.06
30,45.93,69.19,94.47
31,39.06,57.92,48.21
32,11.60,47.02,48.79
33,94.39,92.44,83.69
34,56.61,22.12,90.38
35,90.87,12.82,32.62
36,97.21,39.69,94.06
37,17.05,83.00,48.03
38,71.44,4.70,82.15
39,56.14,24.51,16.70
40,13.36,79.87,6.16
41,11.24,92.31,73.12
42,78.23,67.62,45.09
43,95.13,71.84,87.40
44,36.00,24.87,47.66
45,51.39,60.79,36.32
