id,x,y,z
1,74.30,94.04,60.38
2,37.27,71.83,54.01
3,76.92,41.73,1.77
4,9.39,21.10,82.58
5,29.60,95.22,6.09
6,29.42,0.30,13.81
7,89.70,68.85,45.01
8,28.51,56.50,10.64
9,48.05,42.26,54.69
10,60.90,44.69,9.74
11,38.96,72.46,37.03
12,15.96,98.96,83.52
13,72.94,64.44,87.45
14,69.73,11.81,83.18
15,16.15,36.68,19.36
16,23.44,2.65,48.09
17,8.68,74.99,79.38
18,57.94,74.83,31.52
19,10.78,37.96,83.45
20,2.73,61.69,52.22
21,82.75,99.80,68.29
22,14.32,79.66,47.29
23,30.86,30.35,75.73
24,23.77,47.21,35.25
25,56.73,82.19,9.85
26,96.40,47.51,2.82
27,77.42,12.96,97.83
28,15.05,45.26,14.12
29,99.17,34.95,74.90
30,2.00,69.04,89.78
