id,x,y,z
1,11.05,50.51,12.33
2,80.73,30.08,8.30
3,93.08,56.98,49.09
4,10.03,44.56,53.30
5,37.55,75.79,63.01
6,85.94,76.92,36.62
7,39.19,43.85,48.30
8,37.29,14.55,34.87
9,12.58,82.44,75.96
10,63.92,8.19,11.39
11,98.25,18.53,25.73
12,25.94,38.58,99.84
13,72.09,75.55,16.46
14,86.73,93.58,3.69
15,2.86,59.37,98.71
16,31.30,70.35,43.44
17,82.21,17.14,57.28
18,78.76,57.97,61.06
19,95.16,50.78,84.27
20,38.02,63.93,96.25
21,85.69,85.26,30.23
22,54.02,4.12,48.80
23,53.74,52.48,29.12
24,85.25,37.02,83.91
25,27.66,56.40,96.13
26,61.79,55.31,80.09
27,48.68,57.25,95.46
28,92.65,35.03,53.49
29,37.15,91.04,59.06
30,32.35,0.33,34.99
31,23.36,77.90,64.36
32,38.43,57.46,1.08
33,20.19,92.38,96.32
34,71.81,78.89,52.05
35,66.62,73.34,82.23
36,47.50,21.15,18.45
37,0.50,9.28,42.40
38,15.90,78.92,23.51
39,15.06,60.67,23.17
40,74.89,58.30,92.34
41,53.44,49.22,5.82
42,62.57,88.33,93.59
43,94.04,9.35,20.06
44,37.64,36.11,81.74
45,25.14,97.91,86.81
46,11.01,82.87,31.58
47,95.49,66.93,48.69
48,25.34,32.31,32.43
49,63.76,90.63,67.61
50,25.26,9.71,97.23
51,19.06,17.90,13.95
52,0.06,56.82,32.12
53,85.33,11.70,79.13
54,53.84,58.57,50.69
55,13.61,32.40,65.32
56,41.69,22.23,39.87
57,39.88,60.21,64.44
58,37.44,99.96,8.36
59,17.90,27.75,6.89
60,56.90,35.95,47.33
61,41.86,76.58,0.97
62,12.42,91.49,24.76
63,73.43,51.87,68.08
64,87.69,38.78,37.19
65,55.61,73.16,16.86
66,66.82,19.28,15.99
67,20.00,39.17,55.21
68,66.96,87.30,83.78
69,52.90,63.75,41.21
70,47.63,12.19,89.44
71,77.38,39.69,58.23
72,82.27,13.40,12.38
73,78.87,76.63,79.23
74,34.50,97.16,76.67
75,19.00,75.90,2.17
76,54.91,18.06,25.39
77,34.47,94.37,18.05
78,54.09,41.55,35.29
79,67.35,19.70,37.64
80,4.51,95.51,29.86
81,88.75,87.15,68.87
82,27.56,10.95,23.52
83,91.34,0.42,53.59
84,65.85,67.46,34.87
85,11.56,10.60,41.68
86,61.83,70.05,65.97
87,44.16,53.01,9.86
88,15.09,47.47,34.02
89,92.60,71.57,23.72
90,56.14,45.83,65.00
91,5.05,25.63,45.33
92,7.61,70.18,72.81
93,7.65,39.94,2.84
94,69.59,27.56,48.95
95,25.40,56.86,24.69
96,57.38,51.17,89.73
97,49.80,94.21,69.54
98,81.60,15.91,29.41
99,22.62,1.90,78.08
100,77.12,17.27,95.44
