id,x,y,z
1,78.73,3.58,24.63
2,20.47,56.87,92.43
3,2.71,99.40,5.57
4,51.65,92.36,42.82
5,89.88,34.07,7.60
6,76.83,21.28,39.59
7,17.54,33.23,3.72
8,42.25,50.53,69.11
9,25.40,71.87,68.68
10,15.25,85.29,8.66
11,35.29,28.86,57.36
12,10.38,44.00,71.66
13,39.16,78.10,81.37
14,5.71,99.29,55.28
15,70.91,23.33,98.13
16,4.37,53.48,32.74
17,81.46,17.85,58.26
18,6.01,67.59,19.26
19,42.50,84.56,45.37
20,98.63,73.11,83.55
21,92.15,95.16,25.88
22,27.59,88.81,36.92
23,81.48,15.82,30.43
24,41.50,85.39,92.31
25,15.29,52.28,66.08
26,98.23,15.25,63.72
27,40.39,18.29,11.02
28,70.95,18.22,18.41
29,76.52,45.18,88.56
30,25.65,88.82,79.36
31,40.36,48.51,2.03
32,17.25,83.35,45.69
33,66.51,40.25,82.92
34,54.96,44.40,70.24
35,35.33,52.09,48.81
36,33.27,50.69,84.27
37,39.93,70.98,14.27
38,5.65,40.67,22.42
39,55.78,80.83,25.18
40,50.11,9.22,42.98
41,55.27,75.44,34.13
42,70.63,37.56,71.20
43,37.52,3.03,41.97
44,12.85,5.33,76.08
45,67.67,52.19,31.97
46,96.85,40.64,69.07
47,15.52,43.27,60.00
48,67.98,75.25,47.88
49,77.10,84.33,92.33
50,29.68,69.10,80.73
51,9.53,31.72,29.19
52,94.43,51.76,67.83
53,69.12,7.69,27.80
54,68.01,99.08,41.65
55,43.17,97.08,10.20
56,79.55,63.34,41.15
57,4.84,6.62,53.99
58,23.38,29.15,72.95
59,53.50,81.83,97.90
60,88.59,68.09,10.59
61,11.63,21.61,61.61
62,86.95,35.92,93.90
63,16.79,42.80,38.34
64,79.83,55.73,9.13
65,90.55,33.13,58.49
66,91.93,60.58,33.74
67,50.92,89.51,83.99
68,72.32,83.10,61.80
69,94.81,95.95,13.96
70,71.67,10.46,53.52
