id,x,y,z
1,97.98,15.41,31.55
2,51.45,4.86,49.12
3,99.79,62.80,64.59
4,37.19,57.57,30.31
5,40.75,82.73,61.24
6,67.90,92.98,82.58
7,53.24,33.98,9.28
8,89.43,18.87,35.91
9,1.48,3.37,52.20
10,77.74,92.16,32.68
11,9.79,21.36,21.91
12,94.01,76.46,0.64
13,76.07,45.88,15.81
14,56.02,56.67,2.32
15,47.95,47.58,80.86
16,51.49,76.95,61.62
17,99.58,57.88,30.51
18,91.76,49.12,15.32
19,76.66,18.93,11.86
20,84.89,98.58,2.74
21,59.66,22.21,33.33
22,3.12,73.46,26.04
23,57.77,66.59,13.41
24,16.87,22.83,53.30
25,14.02,76.92,12.69
26,5.78,0.86,20.24
27,91.01,54.04,38.90
28,47.06,12.19,69.94
29,85.65,84.16,17.30
30,66.39,80.39,69.53
31,17.98,64.30,36.63
32,66.06,40.68,15.56
33,66.58,86.41,98.37
34,40.78,79.85,98.73
35,10.02,9.68,75.78
