id,x,y,z
1,17.39,31.80,80.11
2,60.18,92.70,85.09
3,72.78,51.26,52.61
4,32.86,16.15,86.26
5,18.28,6.90,97.77
6,1.20,8.86,93.47
7,17.40,38.02,88.72
8,90.39,70.33,40.68
9,50.76,23.58,42.36
10,53.48,30.08,55.44
11,41.74,51.86,41.27
12,58.07,1.56,68.79
13,66.42,25.68,16.94
14,14.16,56.57,72.35
15,2.49,16.05,74.49
16,87.05,66.83,11.76
17,54.43,87.00,32.07
18,90.53,7.54,28.24
19,17.36,34.44,29.11
20,48.45,67.42,19.78
21,75.85,2.88,57.40
22,61.67,72.77,29.16
23,16.83,14.69,67.10
24,31.92,79.26,79.76
25,2.72,70.55,42.10
26,43.87,28.32,17.83
27,71.78,0.27,17.58
28,92.14,0.71,79.53
29,26.40,31.58,4.10
30,29.69,43.60,96.52
31,60.04,48.27,26.27
32,6.43,7.70,5.27
33,74.77,68.52,14.18
34,52.18,80.37,92.78
35,96.35,18.31,47.14
36,22.24,53.05,90.67
37,32.87,78.29,9.19
38,38.54,34.88,83.91
39,40.05,43.47,5.59
40,11.20,41.44,10.60
41,91.50,4.67,52.26
42,55.63,37.35,45.27
43,85.86,76.37,89.21
44,25.03,63.79,55.37
45,22.96,20.66,77.82
46,63.55,30.52,81.50
47,78.80,81.13,25.97
48,57.79,86.86,20.60
49,30.64,49.12,5.60
50,98.76,13.27,68.25
