id,x,y,z
1,93.05,38.65,68.23
2,58.10,97.35,96.18
3,87.29,83.78,78.55
4,24.97,83.35,58.79
5,2.33,11.21,62.27
6,58.41,3.06,24.92
7,50.07,26.37,76.38
8,95.72,42.30,6.63
9,91.46,97.76,30.60
10,76.14,14.40,83.01
11,96.03,2.53,53.82
12,28.02,12.69,12.61
13,46.32,6.66,95.59
14,35.96,43.27,68.27
15,61.01,67.13,91.18
16,80.85,37.08,13.79
17,71.66,76.89,34.25
18,57.77,85.23,28.11
19,10.08,90.59,34.75
20,11.07,50.45,87.48
21,70.39,77.41,58.15
22,47.53,36.50,16.99
23,72.63,83.66,78.99
24,44.42,28.25,23.54
25,26.18,70.23,43.85
26,67.84,10.55,51.98
27,25.38,27.79,6.94
28,61.49,48.02,7.97
29,85.90,10.46,89.43
30,8.63,41.24,17.17
31,80.89,91.92,68.54
32,13.06,15.18,6.80
33,56.49,79.35,67.24
34,31.10,63.76,84.43
35,24.44,75.10,4.64
36,22.15,94.03,45.76
37,48.01,50.54,32.56
38,40.43,84.95,11.04
39,65.82,68.53,77.37
40,62.53,68.42,33.74
41,68.87,82.78,5.88
42,8.85,71.75,81.73
43,42.21,92.30,51.76
44,86.93,18.56,68.73
45,49.46,92.80,6.79
46,44.02,26.65,65.82
47,26.21,45.30,97.63
48,61.18,31.43,10.67
49,56.37,20.77,55.02
50,23.15,95.50,81.60
51,66.93,57.61,63.54
52,18.54,67.43,29.82
53,99.64,64.76,46.81
54,44.20,0.52,48.44
55,98.39,24.44,67.93
56,19.76,9.44,19.14
57,35.73,98.48,78.12
58,73.77,16.68,12.81
59,53.23,82.60,39.79
60,70.71,59.07,18.67
61,40.33,78.70,34.43
62,90.92,8.31,64.75
63,23.38,46.58,53.38
64,94.71,26.71,48.02
65,51.16,83.19,10.33
66,19.79,0.62,64.56
67,39.27,11.48,76.79
68,82.72,9.77,57.57
69,64.26,21.64,89.76
70,76.20,1.15,20.29
71,91.56,87.56,6.61
72,5.63,2.52,44.35
73,11.29,51.50,12.24
74,8.09,94.20,2.91
75,62.17,21.88,38.89
76,73.12,16.45,92.80
77,56.47,85.98,49.79
78,10.76,39.12,54.24
79,44.68,57.92,63.13
80,97.23,14.33,54.58
