id,x,y,z
1,2.39,44.94,60.74
2,6.02,72.33,40.47
3,48.34,16.06,63.69
4,25.42,48.48,97.52
5,9.05,64.13,77.36
6,7.98,84.20,44.32
7,1.11,15.98,87.90
8,39.41,92.06,17.40
9,48.56,35.53,20.12
10,54.36,95.88,83.11
11,61.31,55.45,41.62
12,4.04,19.33,48.07
13,70.33,70.73,58.38
14,20.61,43.37,81.64
15,24.95,6.69,41.33
16,96.63,10.31,86.93
17,93.34,51.71,51.18
18,37.09,58.42,50.82
19,1.72,22.27,21.94
20,68.86,30.52,84.24
21,56.95,65.27,76.81
22,42.22,32.61,29.61
23,44.39,80.68,77.40
24,57.74,37.38,79.20
25,57.41,18.90,21.79
26,57.83,1.00,23.85
27,88.07,74.17,8.27
28,13.38,11.25,49.71
29,71.64,84.15,35.08
30,47.63,19.39,14.76
31,4.46,6.01,42.06
32,40.63,16.44,43.79
33,85.07,93.93,79.57
34,4.09,97.49,67.78
35,7.02,26.38,90.85
36,23.28,93.56,41.00
37,24.08,51.78,37.79
38,62.13,29.90,67.50
39,11.44,69.72,61.17
40,61.39,66.65,66.36
41,19.20,80.69,20.51
42,46.74,79.84,9.45
43,91.74,90.37,8.76
44,96.97,0.40,33.88
45,13.96,58.40,14.99
46,92.18,85.15,22.02
47,23.43,71.80,85.17
48,80.92,16.87,78.42
49,58.42,59.69,17.00
50,42.60,16.11,78.87
51,52.67,29.78,73.53
52,87.76,38.82,2.08
53,50.64,62.80,34.42
54,76.97,40.55,73.50
55,96.75,64.10,24.36
56,86.65,80.61,61.33
57,47.41,32.81,3.89
58,87.63,13.40,65.14
59,97.30,18.19,69.83
60,16.18,40.02,65.40
61,62.31,82.94,18.85
62,11.95,39.93,48.12
63,46.50,75.89,95.47
64,33.85,26.50,77.72
65,4.38,69.69,50.87
