id,x,y,z
1,63.86,48.21,49.57
2,17.91,14.66,31.41
3,89.88,25.74,70.72
4,23.47,31.10,23.33
5,50.42,34.62,32.95
6,45.55,95.45,20.45
7,43.49,94.67,11.44
8,57.38,98.99,76.09
9,27.46,45.04,31.27
10,95.71,91.63,19.79
11,71.51,97.81,11.89
12,32.93,75.74,36.18
13,38.14,45.87,76.18
14,32.17,10.99,31.64
15,4.15,32.90,89.64
16,16.78,45.89,16.83
17,28.11,21.26,21.39
18,53.33,46.12,25.63
19,42.05,87.30,90.54
20,76.37,27.55,88.00
21,1.96,86.00,85.84
22,73.61,37.53,59.45
23,57.93,90.53,96.42
24,7.14,26.56,93.08
25,33.61,4.79,7.46
26,17.91,10.46,88.08
27,29.77,8.69,1.46
28,31.45,59.45,63.61
29,87.73,98.91,64.79
30,11.13,4.35,0.33
31,0.19,73.87,22.85
32,51.12,2.67,4.67
33,84.87,15.16,24.78
34,27.46,49.91,21.37
35,94.89,93.30,95.32
