id,x,y,z
1,38.87,46.92,70.08
2,32.63,91.66,5.33
3,18.13,96.77,65.59
4,72.22,5.15,32.70
5,82.28,76.11,62.40
6,67.79,24.30,78.04
7,20.12,12.72,11.77
8,63.09,38.30,98.14
9,40.01,10.26,5.02
10,10.83,95.53,86.55
11,74.13,61.54,75.51
12,53.35,87.61,89.54
13,89.53,55.52,78.40
14,28.04,31.99,13.20
15,97.58,6.39,35.72
16,7.38,25.31,50.20
17,19.63,68.94,24.68
18,79.39,86.95,83.75
19,94.02,29.55,43.78
20,19.48,12.86,51.82
21,97.53,67.45,72.46
22,80.90,25.67,29.10
23,33.49,52.46,82.99
24,63.97,5.34,11.17
25,10.57,69.73,28.31
