id,x,y,z
1,63.00,38.45,96.88
2,87.29,65.56,57.85
3,65.25,40.54,44.82
4,44.49,26.39,97.55
5,2.70,80.71,81.73
6,66.90,58.81,84.85
7,54.98,45.41,59.41
8,79.89,80.59,19.87
9,78.23,56.25,89.99
10,29.59,18.49,25.60
11,61.52,18.45,68.70
12,66.92,47.20,80.54
13,77.05,52.64,34.55
14,36.02,25.72,70.33
15,41.97,72.08,24.07
16,12.78,63.08,90.77
17,26.77,67.23,24.36
18,52.64,77.18,19.67
19,88.20,48.98,20.54
20,33.75,31.71,22.78
21,78.39,99.54,1.26
22,17.25,14.33,89.26
23,43.52,67.66,80.94
24,31.54,81.15,13.41
25,90.12,64.79,33.04
26,5.70,64.51,47.76
27,28.02,94.51,81.01
28,26.99,97.84,11.27
29,9.07,76.86,61.06
30,45.13,8.97,1.89
31,97.12,62.92,86.27
32,87.84,10.11,83.69
33,3.17,77.69,38.72
34,40.19,11.01,39.93
35,50.33,10.33,0.68
36,42.45,19.90,28.86
37,71.36,26.05,87.19
38,22.49,5.72,17.27
39,35.01,65.56,1.69
40,1.30,85.89,71.47
41,35.05,93.63,47.48
42,94.51,42.33,83.10
43,97.82,45.29,3.01
44,97.74,26.76,72.54
45,13.22,53.79,40.96
46,97.84,17.34,34.64
47,19.55,28.06,88.04
48,80.10,11.52,5.59
49,24.30,68.67,41.24
50,61.17,26.87,79.09
51,55.16,70.23,22.53
52,48.63,55.10,90.35
53,78.93,3.20,24.24
54,2.40,0.57,48.30
55,70.09,69.54,91.32
56,70.70,41.61,35.53
57,0.05,61.31,82.86
58,64.70,69.34,77.42
59,94.63,30.99,89.27
60,32.06,93.48,88.51
61,57.69,40.92,39.84
62,16.89,19.15,67.96
63,86.96,88.03,7.14
64,27.97,74.57,77.03
65,2.36,10.80,54.43
66,63.25,53.58,72.20
67,43.92,24.67,95.26
68,99.06,94.13,50.54
69,49.64,33.83,66.66
70,33.46,9.81,33.60
71,49.30,96.86,54.67
72,1.13,54.39,40.79
73,73.07,36.81,57.73
74,10.69,48.54,27.80
75,26.10,29.00,73.49
