id,x,y,z
1,91.94,88.23,30.53
2,48.78,70.95,6.83
3,32.41,41.87,36.94
4,6.77,69.84,79.80
5,66.01,74.32,21.98
6,28.80,59.49,20.02
7,46.54,63.55,82.17
8,30.67,17.37,4.68
9,86.99,70.56,82.50
10,69.51,38.46,58.91
11,75.94,55.82,96.24
12,81.82,41.68,47.31
13,10.92,64.94,69.88
14,56.74,17.96,99.07
15,28.04,51.74,84.56
16,57.49,54.78,49.22
17,52.40,9.52,89.66
18,29.35,81.19,73.60
19,95.50,43.75,23.24
20,21.22,16.79,8.73
21,82.13,62.27,58.94
22,33.18,96.00,55.62
23,7.94,55.53,47.64
24,83.05,70.85,96.35
25,59.14,55.66,33.29
26,3.11,42.42,6.13
27,7.85,1.02,95.34
28,82.06,63.61,52.85
29,89.68,60.43,42.31
30,71.91,47.49,47.10
31,7.96,14.09,93.40
32,46.92,88.27,98.37
33,24.14,21.60,52.36
34,34.80,97.05,95.76
35,17.31,95.11,27.31
36,30.96,22.04,47.81
37,15.93,64.55,21.24
38,13.96,60.52,62.86
39,86.49,52.77,90.21
40,28.51,11.85,61.42
