id,x,y,z
1,6.45,88.12,80.58
2,32.85,64.28,36.94
3,77.50,58.90,71.25
4,5.90,68.55,70.09
5,11.88,91.10,83.37
6,57.51,52.98,83.27
7,6.57,46.10,70.55
8,32.09,53.71,20.38
9,61.74,69.40,10.22
10,57.59,10.78,38.96
11,81.65,76.34,37.06
12,29.81,2.70,79.47
13,25.49,65.12,61.15
14,77.03,53.16,91.44
15,91.27,15.35,58.53
16,10.11,88.79,42.00
17,75.61,38.25,95.32
18,79.78,51.31,33.09
19,60.79,11.34,87.94
20,95.92,21.16,93.56
21,35.05,81.84,86.44
22,72.77,9.31,10.40
23,69.16,28.64,39.61
24,83.09,12.82,55.26
25,77.34,34.92,41.33
26,54.30,74.67,83.90
27,10.31,5.42,13.44
28,80.10,14.93,61.58
29,87.00,59.18,8.04
30,23.83,84.62,42.13
31,20.24,75.07,12.21
32,27.55,80.59,16.29
33,62.68,95.49,49.58
34,32.78,36.57,95.50
35,9.58,73.62,69.01
36,14.78,83.11,43.12
37,75.07,48.80,59.58
38,90.59,9.47,93.14
39,8.46,4.69,37.23
40,18.64,35.92,68.62
41,73.54,31.13,80.71
42,74.14,21.93,54.31
43,18.35,61.38,39.38
44,0.15,96.13,31.07
45,17.28,13.43,76.03
46,84.14,15.32,42.44
47,89.90,95.06,82.71
48,44.11,5.25,24.67
49,98.38,35.00,55.89
50,81.49,71.26,31.40
51,50.16,79.46,67.59
52,66.48,28.29,95.64
53,8.37,78.83,41.43
54,10.99,97.97,42.96
55,59.19,12.71,46.36
56,2.42,78.34,65.36
57,28.00,83.90,2.52
58,78.47,92.71,97.88
59,49.58,21.60,65.43
60,31.78,81.96,72.12
