id,x,y,z
1,84.06,85.46,88.30
2,49.05,27.15,65.73
3,25.32,8.70,52.29
4,18.44,30.51,32.03
5,22.99,46.10,24.92
6,64.03,32.79,36.75
7,10.41,57.64,15.19
8,67.39,52.75,24.12
9,95.19,10.33,13.48
10,47.08,16.82,59.59
11,46.04,78.17,95.00
12,3.83,26.88,68.30
13,75.46,63.45,9.29
14,31.42,38.55,62.39
15,43.46,2.97,25.71
16,23.21,12.81,14.37
17,84.31,19.42,59.17
18,89.23,66.79,54.19
19,15.54,92.80,53.61
20,48.15,86.88,69.89
21,19.03,77.49,2.70
22,84.42,37.87,19.18
23,43.32,75.85,21.63
24,4.87,97.06,0.93
25,90.36,48.78,68.43
26,7.24,10.99,56.17
27,5.49,90.18,32.21
28,1.51,81.85,95.27
29,3.58,83.11,16.37
30,68.03,23.51,72.21
31,1.89,52.65,0.27
32,11.90,1.86,39.64
33,18.13,86.23,8.81
34,98.32,70.64,9.67
35,34.90,98.75,83.21
36,11.46,84.45,20.16
37,11.14,8.96,37.26
38,12.05,88.50,74.08
39,38.95,80.17,43.88
40,75.69,20.89,57.44
