id,x,y,z
1,72.09,90.39,5.20
2,4.37,52.66,18.04
3,88.16,16.93,15.30
4,8.37,31.18,7.00
5,85.76,55.99,89.37
6,81.43,64.36,5.51
7,43.61,94.26,98.53
8,14.37,28.74,11.97
9,83.20,83.57,35.83
10,83.86,42.64,32.31
11,16.44,97.11,12.69
12,55.03,90.92,63.20
13,97.15,88.31,30.97
14,54.08,6.01,63.81
15,98.88,18.72,11.76
16,60.35,12.53,5.64
17,64.04,2.26,72.28
18,76.78,43.33,40.84
19,95.28,77.56,38.52
20,22.09,12.65,22.56
21,97.39,75.09,99.68
22,48.76,53.27,67.13
23,35.31,98.10,58.71
24,58.07,10.63,81.30
25,59.65,2.12,6.38
26,37.89,14.23,44.12
27,39.19,88.49,56.42
28,59.85,37.16,34.69
29,43.74,28.14,34.90
30,3.63,62.97,65.31
31,52.99,62.66,32.05
32,67.00,37.97,73.81
33,5.96,27.28,7.81
34,64.77,88.34,84.81
35,84.94,46.56,57.28
36,2.41,31.81,88.43
37,90.23,71.56,40.12
38,82.59,85.46,78.46
39,33.02,70.33,76.56
40,27.77,93.55,67.85
41,72.89,84.44,79.32
42,46.85,56.67,36.76
43,67.15,29.05,48.14
44,85.97,73.77,16.89
45,34.38,91.42,87.81
46,77.62,40.53,65.69
47,35.55,6.35,40.91
48,10.76,43.20,42.51
49,96.52,80.53,35.50
50,12.59,5.73,78.87
51,51.41,21.29,19.84
52,78.15,82.83,60.16
53,15.24,90.27,2.95
54,36.92,93.56,8.23
55,46.17,68.06,4.43
56,9.91,78.39,70.88
57,56.26,47.15,85.21
58,1.54,73.09,52.59
59,42.18,92.01,97.14
60,96.70,95.09,1.89
61,68.17,71.54,77.27
62,26.76,75.69,84.85
63,18.06,42.46,33.87
64,80.70,4.26,18.66
65,93.97,65.36,49.21
66,67.45,85.45,24.50
67,17.91,1.80,34.84
68,20.00,99.84,87.51
69,93.42,38.97,1.57
70,19.83,25.46,17.11
71,90.35,6.15,83.45
72,58.43,6.35,9.41
73,19.48,45.29,86.14
74,75.16,77.40,42.79
75,2.77,17.56,28.68
