id,x,y,z
1,70.21,41.62,58.14
2,85.30,89.05,27.49
3,55.25,87.33,60.47
4,64.61,3.14,43.19
5,29.36,18.96,50.77
6,63.22,60.29,87.46
7,77.87,0.45,84.51
8,76.46,25.23,97.67
9,11.59,80.97,25.45
10,29.60,32.28,45.72
11,33.47,61.45,32.91
12,54.40,23.46,62.09
13,77.23,16.14,71.42
14,83.63,50.68,29.25
15,17.98,30.64,12.05
16,67.06,95.28,47.76
17,78.09,25.28,96.13
18,83.88,72.80,32.26
19,67.69,83.69,40.32
20,38.13,58.84,32.24
21,35.07,86.33,84.62
22,8.81,64.00,70.49
23,59.43,96.47,7.18
24,58.19,65.48,83.42
25,40.21,34.29,35.61
26,67.06,92.38,52.86
27,92.26,13.20,52.10
28,59.56,5.80,86.54
29,64.89,51.19,52.09
30,17.40,70.77,38.34
31,96.33,58.21,70.44
32,97.81,85.69,60.01
33,62.45,0.44,6.75
34,68.39,48.47,66.19
35,34.95,89.79,40.12
36,15.27,84.94,19.27
37,88.58,52.95,74.94
38,8.45,16.50,9.49
39,77.11,15.22,85.83
40,78.39,91.37,39.09
41,64.71,95.36,74.45
42,29.36,55.96,50.49
43,16.04,31.90,65.61
44,59.80,54.32,56.67
45,51.51,69.88,62.44
46,95.15,33.37,8.66
47,69.51,53.94,27.20
48,83.62,20.93,40.77
49,38.28,51.31,85.59
50,60.85,85.02,26.12
51,87.48,76.34,74.63
52,21.84,11.94,44.82
53,11.58,55.26,42.24
54,32.51,25.79,68.07
55,48.30,77.38,16.38
56,1.90,11.88,95.41
57,51.09,29.07,63.55
58,93.55,58.49,61.09
59,86.08,77.74,74.61
60,67.80,59.66,57.89
61,70.90,66.28,39.60
62,56.48,4.30,31.39
63,32.25,86.39,17.58
64,93.98,11.69,69.38
65,20.50,40.92,10.85
66,25.17,7.37,74.95
67,97.99,95.14,5.50
68,33.83,53.93,88.16
69,48.51,26.40,51.41
70,95.09,16.33,81.07
