id,x,y,z
1,28.97,35.10,54.86
2,64.74,74.24,59.47
3,13.66,44.75,54.56
4,93.10,99.10,37.41
5,76.95,76.14,66.99
6,14.06,74.37,3.43
7,10.34,40.02,84.02
8,24.90,78.97,94.72
9,20.48,53.97,84.20
10,87.12,7.77,41.98
11,60.44,89.90,76.23
12,93.54,46.67,92.87
13,12.43,35.92,87.10
14,49.71,21.40,2.74
15,57.32,73.57,25.65
16,10.68,92.99,68.22
17,23.58,25.55,37.95
18,47.35,94.03,82.90
19,8.68,41.74,60.55
20,55.94,56.84,41.47
21,72.54,1.86,74.50
22,73.48,51.10,43.99
23,87.61,73.49,29.63
24,27.50,93.62,49.50
25,99.62,35.13,13.14
26,29.02,99.04,59.39
27,90.27,94.29,31.25
28,96.87,92.41,6.62
29,91.53,30.05,27.31
30,39.53,63.39,3.54
31,9.00,61.74,31.04
32,51.28,63.96,88.11
33,28.08,82.78,11.69
34,54.25,98.00,86.73
35,27.65,58.01,11.54
36,60.52,41.11,19.50
37,66.93,68.60,21.56
38,77.68,40.48,42.09
39,32.54,47.73,52.33
40,16.08,52.86,30.52
41,62.08,17.12,46.07
42,74.20,18.18,32.80
43,18.19,30.22,35.54
44,52.54,24.57,71.36
45,32.39,19.59,93.16
46,24.57,56.13,41.17
47,68.54,56.99,16.49
48,1.05,87.21,0.73
49,87.17,54.10,31.56
50,55.76,65.19,72.16
51,97.91,92.41,13.21
52,42.16,46.26,13.40
53,42.40,95.02,66.54
54,83.65,74.32,65.90
55,37.68,33.53,32.10
56,74.98,10.16,39.37
57,59.78,87.06,3.28
58,18.70,78.47,35.48
59,98.78,71.96,86.54
60,72.55,48.16,7.67
61,92.70,93.54,4.56
62,6.81,4.63,63.80
63,22.59,29.45,62.23
64,98.89,84.19,43.16
65,22.82,38.21,81.30
66,18.37,68.07,70.50
67,25.58,99.73,38.06
68,39.14,46.51,39.30
69,29.22,26.88,69.57
70,11.15,38.91,15.31
71,87.71,79.24,23.46
72,76.77,73.85,48.16
73,24.05,52.10,7.44
74,70.96,85.94,7.51
75,10.46,33.16,69.07
76,3.08,65.15,60.20
77,16.17,85.44,36.16
78,91.25,90.23,18.39
79,16.94,71.57,8.77
80,41.48,60.27,73.95
