id,x,y,z
1,56.08,13.64,75.37
2,94.37,63.54,11.93
3,90.65,35.03,9.56
4,67.93,29.02,78.67
5,53.08,78.10,76.81
6,4.63,18.22,23.11
7,94.49,16.86,14.20
8,99.21,3.68,29.69
9,8.25,25.22,91.36
10,79.94,62.24,10.46
11,93.93,0.35,52.90
12,3.61,37.75,14.25
13,84.19,91.50,90.28
14,79.39,86.13,32.63
15,70.67,22.79,22.79
16,9.18,15.51,47.78
17,21.29,32.47,39.02
18,72.19,41.56,81.94
19,89.99,77.53,10.46
20,80.88,89.55,40.90
21,82.88,51.60,19.70
22,24.38,30.40,13.07
23,5.51,8.55,55.54
24,23.55,5.60,0.77
25,42.15,25.17,0.89
26,22.37,93.82,22.31
27,38.65,96.31,72.93
28,28.17,43.49,53.45
29,84.58,66.18,41.66
30,95.22,10.58,0.15
31,51.98,74.09,39.91
32,30.88,31.20,93.67
33,88.15,70.60,60.75
34,18.83,98.92,16.89
35,13.53,61.89,73.37
36,93.44,68.37,10.02
37,80.56,28.87,11.11
38,42.63,87.98,0.60
39,5.33,30.23,51.47
40,28.72,31.40,20.75
41,97.37,73.68,22.39
42,85.78,3.56,75.50
43,77.60,81.89,70.84
44,86.89,2.69,80.46
45,21.34,38.30,51.15
46,76.33,7.94,62.70
47,20.97,33.70,77.04
48,62.59,77.39,66.55
49,6.78,30.71,55.15
50,89.48,44.58,93.19
51,57.41,96.57,29.25
52,54.20,77.30,49.13
53,11.54,33.26,37.60
54,89.14,6.72,24.09
55,35.87,53.69,53.91
56,65.25,96.24,35.27
57,93.55,50.75,8.80
58,90.53,87.21,53.70
59,19.82,87.19,98.82
60,37.85,49.22,82.50
61,65.94,70.66,94.01
62,84.64,65.16,15.09
63,15.31,14.23,8.36
64,76.35,6.40,26.28
65,3.09,96.05,23.85
