id,x,y,z
1,8.14,96.08,6.66
2,28.97,85.77,80.78
3,81.82,89.88,48.89
4,29.00,77.43,49.87
5,74.99,23.19,53.00
6,2.38,94.90,65.53
7,23.83,23.44,60.90
8,97.94,31.48,55.60
9,58.76,11.54,15.00
10,34.15,17.53,9.36
11,27.85,43.05,92.50
12,43.82,97.41,4.97
13,55.62,5.88,45.40
14,0.00,31.71,30.40
15,60.20,82.08,73.33
16,33.61,4.56,46.04
17,3.94,49.70,64.94
18,43.50,81.74,36.92
19,0.28,67.62,82.25
20,95.12,65.90,60.04
21,66.45,29.95,18.12
22,86.48,1.33,80.85
23,26.24,40.35,31.02
24,62.10,37.00,65.98
25,3.28,39.11,76.61
26,49.23,77.76,24.59
27,32.35,93.65,36.79
28,97.70,14.88,6.93
29,71.75,38.13,69.46
30,91.05,37.00,87.53
31,45.81,40.32,28.65
32,50.63,45.63,59.15
33,4.68,34.04,81.75
34,60.83,30.59,9.59
35,86.51,2.11,9.72
36,37.02,80.68,42.79
37,66.96,68.00,15.55
38,96.54,18.81,63.55
39,59.67,82.40,28.29
40,59.69,17.94,60.92
41,93.60,25.76,25.72
42,81.83,59.51,7.78
43,0.07,52.70,24.36
44,47.16,9.32,31.80
45,98.56,16.90,88.13
46,38.57,9.10,40.07
47,84.67,76.39,65.82
48,17.96,13.34,98.34
49,15.78,87.18,17.77
50,32.08,93.03,22.74
51,4.32,64.11,46.79
52,36.96,61.83,58.35
53,92.44,16.64,21.53
54,17.78,90.42,13.48
55,90.43,10.00,10.56
56,59.42,34.39,88.19
57,50.69,99.67,3.29
58,67.63,18.99,85.78
59,83.70,60.43,11.81
60,7.37,93.57,72.90
61,8.60,57.70,28.28
62,32.51,55.12,80.95
63,74.12,48.61,75.97
64,82.00,98.47,89.96
65,84.82,62.59,48.05
66,90.46,69.20,90.59
67,93.07,98.84,52.92
68,66.80,46.48,83.55
69,43.75,90.15,25.92
70,81.93,53.63,46.71
71,9.56,20.38,48.00
72,18.10,3.65,64.62
73,42.16,6.15,44.06
74,22.86,19.95,25.32
75,48.07,57.05,75.89
76,58.39,11.51,37.79
77,96.55,71.00,63.64
78,31.43,60.44,57.56
79,78.04,26.82,25.59
80,18.30,34.57,86.77
81,17.52,59.14,15.33
82,42.06,6.63,94.89
83,18.18,25.32,21.12
84,31.88,1.02,97.11
85,55.14,84.94,79.98
86,9.56,31.04,14.65
87,3.94,18.91,19.94
88,7.35,15.43,52.54
89,55.05,47.25,86.84
90,69.99,12.85,4.95
