id,x,y,z
1,74.06,42.05,42.39
2,15.22,64.62,14.66
3,51.52,57.87,52.11
4,57.82,86.35,9.05
5,10.72,21.74,51.37
6,41.57,91.08,76.33
7,15.73,87.96,77.17
8,26.45,13.71,57.89
9,67.91,0.55,81.51
10,44.03,36.89,74.49
11,13.85,66.65,63.40
12,52.14,11.68,51.23
13,20.55,7.91,53.92
14,15.11,64.43,20.90
15,10.60,2.83,30.90
16,77.25,65.84,21.62
17,94.54,10.17,5.45
18,36.18,75.69,0.62
19,97.86,21.55,63.69
20,31.35,90.40,89.52
21,73.68,52.38,63.06
22,32.93,29.49,89.02
23,9.25,43.18,9.84
24,41.00,40.86,8.77
25,30.07,64.94,13.04
26,64.05,75.66,52.25
27,54.87,91.19,21.40
28,98.30,11.01,88.34
29,77.08,93.69,44.98
30,83.17,75.95,96.18
