id,x,y,z
1,76.84,80.79,92.37
2,42.06,24.32,18.59
3,77.17,43.65,76.66
4,89.03,58.49,86.83
5,82.57,46.73,30.88
6,99.85,77.46,83.90
7,19.34,76.28,98.73
8,96.67,75.25,27.86
9,0.03,33.67,95.79
10,95.56,59.44,31.81
11,91.68,25.02,48.83
12,68.15,77.64,23.45
13,28.29,7.55,47.38
14,54.32,91.12,81.06
15,47.17,42.31,76.41
16,37.28,25.21,77.28
17,1.65,47.76,6.92
18,66.10,43.26,7.77
19,54.79,26.95,34.70
20,38.24,34.46,19.91
21,95.59,66.26,28.62
22,63.82,67.19,57.22
23,50.28,66.60,84.38
24,83.94,71.19,77.59
25,41.08,84.75,74.82
26,3.46,14.23,17.33
27,97.64,13.61,54.55
28,40.67,8.66,56.37
29,28.17,97.31,59.50
30,92.90,83.80,99.26
31,75.65,56.31,69.45
32,98.55,18.97,27.44
33,82.12,2.53,61.85
34,92.39,5.07,89.72
35,31.10,41.41,69.70
36,86.67,31.99,55.48
37,68.52,66.39,88.71
38,42.47,17.03,73.95
39,93.53,72.58,6.69
40,45.10,76.49,55.40
41,50.23,46.82,63.51
42,47.50,19.19,3.39
43,86.84,19.12,13.04
44,36.48,0.43,59.18
45,49.36,19.98,40.11
46,23.11,65.27,19.91
47,13.93,7.47,33.14
48,51.64,2.71,32.58
49,81.45,31.30,34.01
50,60.54,53.50,67.78
51,69.92,52.55,64.74
52,25.95,84.00,8.02
53,47.06,21.10,87.83
54,91.81,62.31,56.03
55,39.60,5.87,89.09
56,32.17,79.28,98.50
57,8.62,99.80,43.83
58,27.85,86.70,75.46
59,38.60,47.04,55.42
60,1.23,1.20,89.17
61,77.68,42.50,98.05
62,64.55,2.20,24.52
63,47.82,56.25,17.79
64,16.50,73.65,43.13
65,5.80,50.72,71.07
